Best parameters found: {'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}
media: 0.719  desvio: (+/-0.178)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 14} 
media: 0.704  desvio: (+/-0.161)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 16} 
media: 0.726  desvio: (+/-0.127)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 2} 
media: 0.709  desvio: (+/-0.180)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 4} 
media: 0.709  desvio: (+/-0.115)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 6} 
media: 0.702  desvio: (+/-0.151)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 8} 
media: 0.716  desvio: (+/-0.183)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 10} 
media: 0.711  desvio: (+/-0.144)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 12} 
media: 0.746  desvio: (+/-0.153)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 14} 
media: 0.698  desvio: (+/-0.139)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 16} 
media: 0.763  desvio: (+/-0.178)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 2} 
media: 0.676  desvio: (+/-0.228)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 4} 
media: 0.743  desvio: (+/-0.123)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 6} 
media: 0.718  desvio: (+/-0.168)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 8} 
media: 0.706  desvio: (+/-0.171)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 10} 
media: 0.688  desvio: (+/-0.231)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 12} 
media: 0.719  desvio: (+/-0.116)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 14} 
media: 0.715  desvio: (+/-0.130)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 16} 
media: 0.671  desvio: (+/-0.228)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 2} 
media: 0.732  desvio: (+/-0.088)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 4} 
media: 0.725  desvio: (+/-0.166)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 6} 
media: 0.704  desvio: (+/-0.250)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 8} 
media: 0.686  desvio: (+/-0.159)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 10} 
media: 0.663  desvio: (+/-0.110)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 12} 
media: 0.715  desvio: (+/-0.154)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 14} 
media: 0.696  desvio: (+/-0.157)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 16} 
media: 0.728  desvio: (+/-0.095)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 2} 
media: 0.705  desvio: (+/-0.230)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 4} 
media: 0.713  desvio: (+/-0.216)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 6} 
media: 0.671  desvio: (+/-0.174)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 8} 
media: 0.701  desvio: (+/-0.157)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 10} 
media: 0.633  desvio: (+/-0.253)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 12} 
media: 0.667  desvio: (+/-0.144)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 14} 
media: 0.680  desvio: (+/-0.280)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 16} 
media: 0.709  desvio: (+/-0.173)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 2} 
media: 0.725  desvio: (+/-0.157)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 4} 
media: 0.703  desvio: (+/-0.151)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 6} 
media: 0.727  desvio: (+/-0.176)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 8} 
media: 0.709  desvio: (+/-0.148)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 10} 
media: 0.741  desvio: (+/-0.167)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 12} 
media: 0.710  desvio: (+/-0.099)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 14} 
media: 0.722  desvio: (+/-0.190)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 16} 
media: 0.697  desvio: (+/-0.163)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 2} 
media: 0.734  desvio: (+/-0.079)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 4} 
media: 0.716  desvio: (+/-0.204)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 6} 
media: 0.727  desvio: (+/-0.202)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 8} 
media: 0.706  desvio: (+/-0.065)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 10} 
media: 0.720  desvio: (+/-0.125)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 12} 
media: 0.732  desvio: (+/-0.094)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 14} 
media: 0.704  desvio: (+/-0.167)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 16} 
media: 0.742  desvio: (+/-0.157)  param: {'max_depth': 4, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 2} 
media: 0.724  desvio: (+/-0.150)  param: {'max_depth': 4, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 4} 
media: 0.719  desvio: (+/-0.184)  param: {'max_depth': 4, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 6} 
media: 0.719  desvio: (+/-0.179)  param: {'max_depth': 4, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 8} 
media: 0.737  desvio: (+/-0.069)  param: {'max_depth': 4, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 10} 
media: 0.740  desvio: (+/-0.158)  param: {'max_depth': 4, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 12} 
media: 0.751  desvio: (+/-0.115)  param: {'max_depth': 4, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 14} 
